hour,electricity_price
0,-342
1,-428
2,1441
3,-658
4,45
5,144
6,-435
7,-974
8,1989
9,1144
10,473
11,-557
12,-920
13,2482
14,-214
15,2630
16,360
17,1417
18,47
19,2203
20,-669
21,978
22,1857
23,1175
24,1393
25,-29
26,16
27,591
28,-786
29,-4
30,1012
31,1676
32,199
33,720
34,2643
35,-585
36,1044
37,158
38,-596
39,204
40,2502
41,-270
42,1886
43,2221
44,1564
45,1347
46,-570
47,-752
48,1902
49,983
50,2356
51,964
52,-681
53,839
54,2905
55,1611
56,1594
57,1628
58,1765
59,1843
60,-32
61,-392
62,-583
63,294
64,-812
65,-164
66,672
67,2992
68,-272
69,564
70,791
71,96
72,538
73,851
74,2182
75,2604
76,2641
77,822
78,2631
79,2325
80,746
81,2254
82,1791
83,2829
84,1325
85,2326
86,-273
87,1175
88,1163
89,-806
90,-106
91,1299
92,1814
93,2041
94,-358
95,1128
96,966
97,2942
98,2410
99,2003
100,2875
101,446
102,1145
103,535
104,-538
105,1083
106,-322
107,2484
108,2080
109,1310
110,2957
111,1318
112,2135
113,1343
114,1053
115,-986
116,1972
117,1297
118,2564
119,1378
120,2151
121,2320
122,112
123,-262
124,-852
125,1527
126,1345
127,2576
128,784
129,1346
130,-439
131,2504
132,1886
133,-706
134,-581
135,1736
136,2391
137,2646
138,-392
139,2816
140,-138
141,-992
142,2153
143,1901
144,819
145,1707
146,1435
147,2726
148,1775
149,-167
150,1379
151,-801
152,-374
153,810
154,1408
155,1466
156,975
157,-268
158,1923
159,-657
160,395
161,2528
162,-322
163,-861
164,-626
165,1690
166,661
167,2059
168,323
169,1370
170,1542
171,-468
172,287
173,2343
174,2218
175,-190
176,-948
177,498
178,1380
179,2699
180,2008
181,933
182,-38
183,-55
184,73
185,-136
186,682
187,-287
188,1967
189,904
190,2391
191,1349
192,765
193,-13
194,-437
195,2021
196,1120
197,1356
198,2345
199,253
200,1942
201,2339
202,-835
203,1953
204,-588
205,-223
206,2991
207,-521
208,2238
209,900
210,557
211,2816
212,2306
213,1801
214,223
215,-739
216,1212
217,1343
218,1036
219,-467
220,918
221,-389
222,700
223,1371
224,-220
225,1179
226,2641
227,1752
228,2266
229,2448
230,115
231,1307
232,-535
233,-605
234,2863
235,-949
236,2049
237,2709
238,-225
239,2383
240,-353
241,614
242,1261
243,174
244,2621
245,-923
246,-67
247,2635
248,-353
249,-290
250,1105
251,361
252,1764
253,2954
254,944
255,-147
256,-142
257,-871
258,1941
259,908
260,763
261,2227
262,2899
263,2926
264,-95
265,1655
266,1530
267,2574
268,2143
269,2538
270,1553
271,2322
272,2936
273,-532
274,-33
275,2523
276,2811
277,390
278,2184
279,2723
280,2362
281,1019
282,-629
283,906
284,-682
285,556
286,1757
287,1081
288,-365
289,2318
290,1882
291,1517
292,900
293,-946
294,1307
295,2407
296,1966
297,-534
298,-874
299,2773
300,2021
301,143
302,893
303,701
304,2427
305,2770
306,479
307,1014
308,1437
309,1935
310,-999
311,329
312,545
313,298
314,-203
315,-748
316,2447
317,1368
318,2400
319,1583
320,1345
321,999
322,2679
323,407
324,1391
325,882
326,-368
327,-347
328,-39
329,-800
330,-138
331,1629
332,2872
333,1440
334,-581
335,956
336,739
337,409
